Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_Injector_Base_Name,"Injector","Injector","Injektor. ","Injektor. ","Инжектор. ","Wtryskiwacz. ","Injektor. ","Iniettore. ","Inyector. ","Injecteur. ","注射器. ","インジェクター. ","injetor. ","注射器. "
STR_BL_Injector_Name,"Fracture Treatment Injector","Fracture Treatment Injector","Injektor pro léčbu zlomenin. ","Frakturbehandlungsinjektor. ","Инжектор для лечения переломов. ","Iniektor do leczenia złamań. ","Töréskezelő injektor. ","Iniettore per il trattamento delle fratture. ","Inyector de tratamiento de fracturas. ","Injecteur de traitement de fracture. ","骨折治療注射器. ","骨折治療用インジェクター. ","Injetor de tratamento de fratura. ","骨折治疗注射器. "
STR_BL_Injector_Desc,"An experimental injection that heals fractures. Developed by Chernarus scientists.","An experimental injection that heals fractures. Developed by Chernarus scientists.","Experimentální injekce, která hojí zlomeniny. Vyvinutý černorusskými vědci. ","Eine experimentelle Injektion, die Brüche heilt. Von Chernarus-Wissenschaftlern entwickelt. ","Экспериментальная инъекция, которая лечит переломы. Разработано учеными Черноруссии. ","Eksperymentalny zastrzyk leczący złamania. Opracowany przez naukowców z Czarnorusi. ","Kísérleti injekció, amely meggyógyítja a töréseket. A Chernarus tudósai fejlesztették ki. ","Un'iniezione sperimentale che guarisce le fratture. Sviluppato dagli scienziati di Chernarus. ","Una inyección experimental que cura las fracturas. Desarrollado por los científicos de Chernarus. ","Une injection expérimentale qui guérit les fractures. Développé par les scientifiques de Chernarus. ","一種治療骨折的實驗性注射劑. 由 Chernarus 科學家開發. ","骨折を治す実験的注射. Chernarus の科学者によって開発されました。. ","Uma injeção experimental que cura fraturas. Desenvolvido por cientistas da Chernarus. ","一种治疗骨折的实验性注射剂. 由 Chernarus 科学家开发. "
STR_Wound_Injector_Name,"Injector For The Treatment Of Blood Poisoning","Injector For The Treatment Of Blood Poisoning","Injektor Pro Léčbu Otravy Krve. ","Injektor zur Behandlung von Blutvergiftungen. ","Инжектор для лечения отравления крови. ","Wtryskiwacz Do Leczenia Zatrucia Krwi. ","Injektor vérmérgezés kezelésére. ","Iniettore per il trattamento dell'avvelenamento del sangue. ","Inyector para el tratamiento del envenenamiento de la sangre. ","Injecteur pour le traitement de l'empoisonnement du sang. ","治療血液中毒的注射器. ","血液中毒の治療のための注射器. ","Injetor para o tratamento de envenenamento do sangue. ","治疗血液中毒的注射器. "
STR_Wound_Injector_Desc,"An experimental injection that treats blood poisoning. Developed by Chernarus scientists.","An experimental injection that treats blood poisoning. Developed by Chernarus scientists.","Experimentální injekce, která léčí otravu krve. Vyvinutý černorusskými vědci. ","Eine experimentelle Injektion zur Behandlung von Blutvergiftungen. Von Chernarus-Wissenschaftlern entwickelt. ","Экспериментальная инъекция, которая лечит заражение крови. Разработано учеными Черноруссии. ","Eksperymentalny zastrzyk leczący zatrucie krwi. Opracowany przez naukowców z Czarnorusi. ","Kísérleti injekció, amely vérmérgezést kezel. A Chernarus tudósai fejlesztették ki. ","Un'iniezione sperimentale che tratta l'avvelenamento del sangue. Sviluppato dagli scienziati di Chernarus. ","Una inyección experimental que trata el envenenamiento de la sangre. Desarrollado por los científicos de Chernarus. ","Une injection expérimentale qui traite l'empoisonnement du sang. Développé par les scientifiques de Chernarus. ","一種治療血液中毒的實驗性注射劑. 由 Chernarus 科學家開發. ","血液中毒を治療する実験的な注射. Chernarus の科学者によって開発されました。. ","Uma injeção experimental que trata envenenamento do sangue. Desenvolvido por cientistas da Chernarus. ","一种治疗血液中毒的实验性注射剂. 由 Chernarus 科学家开发. "
STR_Kuru_Injector_Name,"Kuru Antibody Injector","Kuru Antibody Injector","Injektor protilátek Kuru. ","Kuru-Antikörper-Injektor. ","Инъектор антител Куру. ","Wstrzykiwacz przeciwciał Kuru. ","Kuru antitest injektor. ","Iniettore di anticorpi Kuru. ","Inyector de anticuerpos Kuru. ","Injecteur d'anticorps Kuru. ","庫魯抗體注射器. ","クール抗体インジェクター. ","Injetor de Anticorpo Kuru. ","库鲁抗体注射器. "
STR_Kuru_Injector_Desc,"An experimental injection that cures Kuru's brain disease. Developed by Chernarus scientists in the study of the infection of the infected.","An experimental injection that cures Kuru's brain disease. Developed by Chernarus scientists in the study of the infection of the infected.","Experimentální injekce, která léčí Kuruovu mozkovou nemoc. Vyvinutý černorusskými vědci při studiu infekce infikovaných. ","Eine experimentelle Injektion, die Kurus Gehirnkrankheit heilt. Entwickelt von Chernarus-Wissenschaftlern bei der Untersuchung der Infektion von Infizierten. ","Экспериментальная инъекция, излечивающая болезнь мозга Куру.. Разработан учеными Черноруссии при изучении заражения инфицированных. ","Eksperymentalny zastrzyk, który leczy chorobę mózgu Kuru. Opracowany przez naukowców z Czarnorusi w badaniu infekcji zarażonych. ","Egy kísérleti injekció, amely meggyógyítja Kuru agybetegségét. A Chernarus tudósai fejlesztették ki a fertőzöttek fertőzésének tanulmányozására. ","Un'iniezione sperimentale che cura la malattia del cervello di Kuru. Sviluppato dagli scienziati di Chernarus nello studio dell'infezione degli infetti. ","Una inyección experimental que cura la enfermedad cerebral de Kuru. Desarrollado por científicos de Chernarus en el estudio de la infección de los infectados. ","Une injection expérimentale qui guérit la maladie cérébrale de Kuru. Développé par les scientifiques de Chernarus dans l'étude de l'infection des personnes infectées. ","一種治療庫魯腦部疾病的實驗性注射劑. 由 Chernarus 科學家開發，用於研究感染者的感染. ","クルの脳疾患を治す実験的注射. 感染者の感染の研究でChernarusの科学者によって開発されました. ","Uma injeção experimental que cura a doença cerebral de Kuru. Desenvolvido por cientistas da Chernarus no estudo da infecção dos infectados. ","一种治疗库鲁脑部疾病的实验性注射剂. 由 Chernarus 科学家开发，用于研究感染者的感染. "
STR_Salmonella_Injector_Name,"Salmonella Antibody Injector","Salmonella Antibody Injector","Injektor protilátek proti salmonele. ","Salmonellen-Antikörper-Injektor. ","Инъектор антител сальмонеллы. ","Iniektor przeciwciał Salmonella. ","Salmonella antitest injektor. ","Iniettore di anticorpi anti salmonella. ","Inyector de anticuerpos contra Salmonella. ","Injecteur d'anticorps contre la salmonelle. ","沙門氏菌抗體注射器. ","サルモネラ抗体インジェクター. ","Injetor de Anticorpo de Salmonella. ","沙门氏菌抗体注射器. "
STR_Salmonella_Injector_Desc,"An injection that cures a person of salmonella. Developed by Chernarus scientists.","An injection that cures a person of salmonella. Developed by Chernarus scientists.","Injekce, která člověka vyléčí ze salmonely. Vyvinutý černorusskými vědci. ","Eine Injektion, die eine Person von Salmonellen heilt. Von Chernarus-Wissenschaftlern entwickelt. ","Инъекция, которая лечит человека от сальмонеллеза. Разработано учеными Черноруссии. ","Zastrzyk, który leczy osobę z salmonelli. Opracowany przez naukowców z Czarnorusi. ","Egy injekció, amely meggyógyítja az embert a szalmonellától. A Chernarus tudósai fejlesztették ki. ","Un'iniezione che cura una persona dalla salmonella. Sviluppato dagli scienziati di Chernarus. ","Una inyección que cura a una persona de salmonela. Desarrollado por los científicos de Chernarus. ","Une injection qui guérit une personne de la salmonelle. Développé par les scientifiques de Chernarus. ","一種可以治愈沙門氏菌的注射劑. 由 Chernarus 科學家開發. ","サルモネラ菌を治す注射. Chernarus の科学者によって開発されました。. ","Uma injeção que cura uma pessoa de salmonela. Desenvolvido por cientistas da Chernarus. ","一种可以治愈沙门氏菌的注射剂. 由 Chernarus 科学家开发. "
STR_Influenza_Injector_Name,"Flu Antibody Injector","Flu Antibody Injector","Injektor protilátek proti chřipce. ","Grippe-Antikörper-Injektor. ","Инъектор антител против гриппа. ","Wstrzykiwacz przeciwciał przeciw grypie. ","Influenza antitest injektor. ","Iniettore di anticorpi antinfluenzali. ","Inyector de anticuerpos contra la gripe. ","Injecteur d'anticorps contre la grippe. ","流感抗體注射器. ","インフルエンザ抗体注射器. ","Injetor de Anticorpo da Gripe. ","流感抗体注射器. "
